COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
80945,2016,3,2,0.00000,76.00000,60.00000, 
80945,2016,3,3,0.00000,80.00000,54.00000, 
80945,2016,3,4,0.00000,75.00000,58.00000, 
80945,2016,3,5,0.00000,72.00000,53.00000, 
80945,2016,3,6,0.00000,76.00000,52.00000, 
80945,2016,3,7,0.00000,79.00000,49.00000, 
80945,2016,3,8,0.00000,80.00000,57.00000, 
80945,2016,3,9,0.00000,81.00000,63.00000, 
80945,2016,3,10,0.00000,85.00000,66.00000, 
80945,2016,3,11,0.00000,84.00000,65.00000, 
80945,2016,3,12,0.00000,85.00000,65.00000, 
80945,2016,3,13,0.00000,85.00000,67.00000, 
80945,2016,3,14,0.00000,85.00000,71.00000, 
80945,2016,3,15,0.00000,85.00000,73.00000, 
80945,2016,3,16,0.00000,85.00000,71.00000, 
80945,2016,3,17,0.00000,87.00000,68.00000, 
80945,2016,3,18,0.00000,84.00000,65.00000, 
80945,2016,3,19,0.59000,76.00000,67.00000, 
80945,2016,3,20,0.00000,80.00000,66.00000, 
80945,2016,3,21,0.00000,80.00000,50.00000, 
80945,2016,3,22,0.00000,75.00000,45.00000, 
80945,2016,3,23,0.00000,81.00000,53.00000, 
80945,2016,3,24,0.00000,83.00000,61.00000, 
80945,2016,3,25,0.00000,81.00000,63.00000, 
80945,2016,3,26,0.10000,89.00000,63.00000, 
80945,2016,3,27,0.00000,85.00000,70.00000, 
80945,2016,3,28,0.00000,86.00000,72.00000, 
80945,2016,3,29,0.79000,79.00000,65.00000, 
80945,2016,3,30,0.00000,83.00000,61.00000, 
80945,2016,3,31,0.00000,87.00000,66.00000, 
80945,2016,4,1,0.00000,88.00000,70.00000, 
80945,2016,4,2,0.85000,76.00000,68.00000, 
80945,2016,4,3,0.00000,74.00000,61.00000, 
80945,2016,4,4,0.00000,80.00000,60.00000, 
80945,2016,4,5,0.08000,81.00000,55.00000, 
80945,2016,4,6,0.00000,82.00000,62.00000, 
80945,2016,4,7,0.01000,79.00000,64.00000, 
80945,2016,4,8,0.00000,81.00000,61.00000, 
80945,2016,4,9,0.00000,75.00000,62.00000, 
80945,2016,4,10,0.00000,81.00000,57.00000, 
80945,2016,4,11,0.00000,83.00000,62.00000, 
80945,2016,4,12,0.00000,83.00000,60.00000, 
80945,2016,4,13,0.00000,86.00000,63.00000, 
80945,2016,4,14,0.00000,86.00000,67.00000, 
80945,2016,4,15,0.01000,81.00000,67.00000, 
80945,2016,4,16,0.00000,82.00000,68.00000, 
80945,2016,4,17,0.00000,82.00000,65.00000, 
80945,2016,4,18,0.00000,83.00000,59.00000, 
80945,2016,4,19,0.00000,83.00000,60.00000, 
80945,2016,4,20,0.00000,82.00000,61.00000, 
80945,2016,4,21,0.00000,84.00000,64.00000, 
80945,2016,4,22,0.00000,87.00000,69.00000, 
80945,2016,4,23,0.00000,82.00000,68.00000, 
80945,2016,4,24,0.00000,87.00000,63.00000, 
80945,2016,4,25,0.08000,87.00000,63.00000, 
80945,2016,4,26,0.00000,88.00000,68.00000, 
80945,2016,4,27,0.00000,87.00000,68.00000, 
80945,2016,4,28,-99.90000,-99.90000,-99.90000, 
80945,2016,4,29,-99.90000,-99.90000,-99.90000, 
80945,2016,4,30,-99.90000,-99.90000,-99.90000, 
80945,2016,5,1,0.00000,90.00000,69.00000, 
80945,2016,5,2,0.00000,90.00000,71.00000, 
80945,2016,5,3,0.00000,90.00000,75.00000, 
80945,2016,5,4,6.74000,88.00000,69.00000, 
80945,2016,5,5,0.00000,82.00000,72.00000, 
80945,2016,5,6,0.00000,76.00000,63.00000, 
80945,2016,5,7,0.00000,79.00000,58.00000, 
80945,2016,5,8,0.00000,85.00000,58.00000, 
80945,2016,5,9,0.00000,86.00000,62.00000, 
80945,2016,5,10,0.00000,86.00000,65.00000, 
80945,2016,5,11,0.00000,90.00000,71.00000, 
80945,2016,5,12,0.00000,88.00000,70.00000, 
80945,2016,5,13,0.00000,89.00000,71.00000, 
80945,2016,5,14,0.00000,88.00000,72.00000, 
80945,2016,5,15,0.00000,87.00000,65.00000, 
80945,2016,5,16,0.00000,91.00000,70.00000, 
80945,2016,5,17,0.90000,90.00000,72.00000, 
80945,2016,5,18,0.04000,90.00000,72.00000, 
80945,2016,5,19,0.02000,89.00000,72.00000, 
80945,2016,5,20,0.14000,91.00000,73.00000, 
80945,2016,5,21,0.01000,89.00000,68.00000, 
80945,2016,5,22,0.00000,86.00000,71.00000, 
